Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Soybean,Sandy,38.44,372.36,107.27,660.13,Soybean
Potato,Saline,35.19,269.98,83.87,458.29,Rice
Tomato,Saline,21.07,338.62,99.53,415.02,Rice
Chilli,Sandy,32.67,265.9,86.98,453.23,Soybean
Bell Pepper,Clayey,22.4,226.25,63.61,472.05,Tomato
Corn,Clayey,35.03,380.04,62.71,410.52,Potato
Maize,Sandy,28.18,183.82,55.76,487.13,Maize
Tomato,Loamy,21.04,295.15,86.02,375.03,Bell Pepper
Potato,Loamy,36.59,199.21,56.19,695.19,Bell Pepper
Tomato,Loamy,31.45,178.85,74.58,506.66,Bell Pepper
Chilli,Sandy,35.46,173.87,89.67,649.1,Soybean
Peach,Saline,33.49,341.83,106.48,425.2,Rice
Corn,Saline,28.69,215.41,115.86,641.9,Chilli
Corn,Saline,33.97,292.28,66.87,434.32,Rice
Peach,Clayey,20.3,273.17,74.75,369.57,Potato
Soybean,Sandy,26.79,367.1,69.57,515.22,Maize
Rice,Loamy,35.56,341.44,54.59,673.99,Tomato
Maize,Saline,35.26,323.73,90.45,489.92,Rice
Corn,Saline,37.75,375.45,103.58,606.96,Rice
Bell Pepper,Saline,32.22,296.38,111.79,506.51,Rice
Corn,Clayey,38.84,353.15,83.83,654.05,Potato
Tomato,Clayey,31.15,363.42,64.38,410.58,Potato
Corn,Loamy,30.01,350.79,107.85,656.1,Tomato
Corn,Saline,23.94,244.34,99.91,389.49,Chilli
Rice,Saline,35.58,351.39,103.29,578.82,Rice
Rice,Saline,33.84,280.98,57.31,474.88,Rice
Potato,Clayey,29.22,235.63,82.91,593.51,Potato
Soybean,Loamy,21.74,200.98,50.85,666.16,Rice
Bell Pepper,Sandy,22.51,323.2,115.52,306.26,Soybean
Corn,Clayey,22.29,226.13,83.98,401.51,Tomato
Corn,Saline,27.51,215.97,58.64,616.86,Chilli
Maize,Loamy,23.18,297.92,92.41,437.89,Peach
Rice,Loamy,37.22,214.15,106.73,403.71,Tomato
Bell Pepper,Sandy,37.99,229.71,63.64,368.45,Maize
Potato,Saline,37.14,325.77,98.1,579.19,Rice
Soybean,Clayey,32.18,318.2,58.31,449.81,Potato
Peach,Clayey,31.93,382.37,95.96,666.01,Potato
Soybean,Clayey,37.82,349.76,99.04,611.55,Potato
Tomato,Saline,28.13,235.42,92.19,502.21,Chilli
Corn,Saline,21.25,266.04,114.88,379.46,Rice
Potato,Saline,29.41,291.83,81.87,321.29,Rice
Tomato,Clayey,31.07,249.56,83.99,395.37,Corn
Bell Pepper,Saline,30.99,396.22,59.8,674.79,Rice
Peach,Saline,23.18,158.43,78.62,680.94,Chilli
Rice,Saline,35.67,311.46,103.66,689.74,Rice
Potato,Sandy,34.64,303.91,51.08,418.99,Maize
Potato,Sandy,24.6,383.14,67.95,542.11,Maize
Corn,Saline,31.02,375.37,74.23,616.12,Rice
Chilli,Saline,35.81,379.68,119.82,379.47,Rice
Potato,Clayey,20.15,397.31,119.31,436.69,Corn
Maize,Loamy,25.5,231.83,85.94,532.48,Corn
Peach,Saline,29.44,272.38,97.36,306.78,Rice
Peach,Clayey,36.9,196.8,77.76,529.2,Potato
Maize,Clayey,35.98,353.62,51.23,322.53,Corn
Maize,Loamy,23.02,293.32,75.43,437.04,Chilli
Maize,Clayey,29.25,322.3,56.5,621.76,Potato
Peach,Loamy,26.09,165.41,58.55,486.56,Tomato
Soybean,Saline,28.03,164.71,63.56,694.04,Chilli
Peach,Sandy,30.81,168.72,115.33,603.09,Soybean
Chilli,Loamy,29.99,328.54,98.6,544.66,Chilli
Corn,Saline,22.83,242.03,102.07,398.77,Chilli
Tomato,Saline,22.43,336.83,63.81,334.68,Rice
Soybean,Sandy,22.61,279.5,104.67,673.61,Soybean
Rice,Clayey,36.83,197.96,84.31,311.92,Corn
Tomato,Loamy,20.4,178.63,110.33,572.27,Potato
Corn,Loamy,24.05,381.82,75.26,454.82,Chilli
Chilli,Clayey,39.12,314.49,63.54,683.07,Potato
Chilli,Sandy,21.32,301.19,117.99,462.44,Soybean
Rice,Loamy,20.73,303.19,104.87,514.0,Chilli
Soybean,Loamy,27.75,240.09,118.79,586.91,Rice
Maize,Clayey,23.02,175.58,112.08,514.55,Soybean
Soybean,Saline,31.32,369.54,98.63,591.62,Rice
Chilli,Sandy,26.77,380.74,76.89,302.68,Maize
Peach,Saline,24.18,266.86,93.24,603.26,Rice
Corn,Saline,39.97,256.2,91.5,588.9,Rice
Rice,Clayey,26.82,205.12,58.0,559.3,Potato
Corn,Loamy,32.82,152.1,87.72,342.26,Bell Pepper
Bell Pepper,Clayey,37.48,325.29,100.26,388.79,Corn
Bell Pepper,Saline,38.45,275.11,54.21,616.6,Rice
Soybean,Clayey,28.2,387.55,104.85,579.42,Potato
Chilli,Sandy,39.52,161.04,60.5,312.15,Maize
Chilli,Saline,34.49,234.26,91.38,372.05,Chilli
Maize,Saline,31.67,396.27,50.85,344.43,Rice
Maize,Sandy,33.87,305.24,88.06,425.64,Soybean
Maize,Clayey,27.2,237.89,53.58,317.62,Corn
Peach,Clayey,28.49,199.64,51.25,491.67,Potato
Tomato,Clayey,31.73,166.34,90.51,389.17,Corn
Potato,Loamy,26.54,380.71,64.97,341.36,Rice
Tomato,Saline,35.38,250.33,89.88,503.46,Rice
Corn,Sandy,25.02,386.24,96.79,364.02,Soybean
Tomato,Saline,35.94,237.84,85.01,567.95,Chilli
Peach,Loamy,23.04,385.72,57.2,423.91,Corn
Corn,Saline,24.35,352.42,102.66,501.6,Rice
Tomato,Sandy,35.06,231.77,76.86,570.61,Maize
Peach,Sandy,25.26,256.35,100.81,577.8,Soybean
Potato,Saline,35.91,385.83,93.94,322.49,Rice
Tomato,Loamy,35.68,336.04,72.54,522.53,Tomato
Peach,Saline,25.15,351.24,116.48,521.25,Rice
Maize,Loamy,21.46,306.79,92.94,663.45,Potato
Chilli,Clayey,23.33,165.11,63.67,466.89,Rice
Maize,Sandy,35.05,364.95,66.38,490.44,Maize
Chilli,Saline,36.94,344.47,67.86,450.95,Rice
Rice,Sandy,27.66,292.87,107.88,341.17,Soybean
Rice,Sandy,23.28,323.78,97.92,668.71,Soybean
Rice,Saline,21.51,207.85,56.94,448.77,Chilli
Potato,Clayey,24.32,381.47,83.34,607.35,Tomato
Maize,Sandy,39.59,203.53,97.84,593.45,Soybean
Chilli,Sandy,23.41,318.27,86.1,617.32,Soybean
Peach,Loamy,21.72,268.8,62.53,441.82,Peach
Corn,Loamy,35.71,287.77,60.03,593.06,Tomato
Peach,Clayey,32.31,201.4,118.61,494.07,Potato
Corn,Saline,30.7,195.23,66.15,471.28,Chilli
Bell Pepper,Sandy,28.96,232.12,52.89,469.6,Maize
Peach,Clayey,34.04,157.39,79.95,415.9,Potato
Tomato,Saline,33.97,180.3,109.45,385.77,Chilli
Tomato,Loamy,28.49,241.02,96.71,343.21,Tomato
Soybean,Sandy,24.68,301.95,65.83,684.15,Maize
Maize,Sandy,36.83,237.98,78.65,393.37,Maize
Corn,Saline,23.29,168.29,91.56,544.92,Chilli
Corn,Clayey,30.68,350.18,93.21,647.27,Potato
Maize,Sandy,33.85,189.51,96.64,583.45,Soybean
Potato,Sandy,32.78,163.96,98.62,456.76,Soybean
Soybean,Loamy,32.38,238.03,54.82,622.77,Tomato
Potato,Clayey,33.25,266.01,58.44,333.7,Corn
Potato,Loamy,37.51,373.08,63.3,661.62,Tomato
Potato,Saline,27.31,212.0,68.28,685.21,Chilli
Maize,Saline,32.55,296.73,75.11,635.55,Rice
Potato,Clayey,33.94,218.96,101.72,348.72,Corn
Tomato,Loamy,31.81,180.14,97.45,515.49,Bell Pepper
Rice,Saline,38.06,309.37,117.78,455.79,Rice
Bell Pepper,Clayey,33.1,337.31,88.02,555.38,Potato
Corn,Saline,28.49,285.95,72.84,468.95,Rice
Corn,Sandy,36.91,234.16,96.04,599.18,Soybean
Bell Pepper,Sandy,29.79,396.96,87.13,427.27,Soybean
Maize,Clayey,30.6,158.36,74.44,661.28,Potato
Peach,Saline,31.65,288.15,59.46,572.57,Rice
Maize,Clayey,26.46,317.2,59.52,348.94,Corn
Corn,Clayey,34.45,255.86,72.84,615.4,Potato
Corn,Clayey,21.96,183.36,78.72,460.32,Peach
Bell Pepper,Sandy,37.38,194.6,114.25,402.75,Soybean
Potato,Clayey,35.09,386.44,79.33,394.05,Corn
Maize,Sandy,27.07,376.22,80.1,312.33,Soybean
Chilli,Sandy,24.53,193.76,88.83,423.39,Soybean
Bell Pepper,Saline,27.76,164.61,81.26,474.99,Chilli
Tomato,Clayey,36.1,193.16,78.08,558.17,Potato
Corn,Saline,20.63,369.55,107.73,517.7,Rice
Bell Pepper,Sandy,29.36,175.06,93.24,526.66,Soybean
Maize,Clayey,25.08,190.55,93.3,340.97,Corn
Corn,Sandy,37.5,326.69,76.05,358.29,Maize
Peach,Clayey,28.28,354.6,78.35,549.65,Potato
Bell Pepper,Clayey,33.96,286.25,90.3,562.66,Potato
Soybean,Loamy,27.16,198.89,52.05,596.83,Soybean
Corn,Saline,26.59,351.87,88.96,683.8,Rice
Maize,Loamy,26.52,243.13,50.18,318.03,Rice
Rice,Clayey,33.56,318.52,118.15,474.66,Potato
Chilli,Loamy,39.28,211.89,103.95,592.02,Tomato
Potato,Sandy,24.16,288.5,80.78,657.73,Soybean
Maize,Clayey,32.88,234.16,79.12,560.03,Potato
Tomato,Clayey,25.31,208.4,105.29,609.53,Potato
Tomato,Clayey,30.99,332.3,103.64,471.15,Potato
Rice,Loamy,30.83,366.83,74.39,679.88,Tomato
Potato,Saline,29.0,368.62,92.38,519.94,Rice
Soybean,Saline,29.97,260.18,113.34,442.87,Rice
Rice,Saline,37.6,377.15,116.42,346.15,Rice
Rice,Loamy,21.77,279.98,114.4,625.35,Corn
Corn,Sandy,36.61,238.38,55.87,507.42,Maize
Tomato,Loamy,29.25,339.75,95.32,336.38,Tomato
Corn,Saline,26.67,218.99,66.57,598.75,Chilli
Chilli,Loamy,23.54,251.58,90.43,319.58,Maize
Potato,Sandy,36.3,349.38,52.42,429.07,Maize
Soybean,Clayey,31.84,272.8,110.68,408.89,Potato
Soybean,Clayey,34.57,182.12,104.76,696.02,Potato
Maize,Saline,26.3,388.5,69.01,516.99,Rice
Rice,Saline,27.86,153.08,91.3,465.25,Chilli
Chilli,Sandy,38.27,211.33,117.84,452.18,Soybean
Tomato,Loamy,39.22,351.63,116.81,557.63,Tomato
Soybean,Sandy,34.8,361.42,99.67,322.17,Soybean
Chilli,Sandy,34.99,319.15,66.8,600.52,Maize
Peach,Clayey,33.89,303.26,92.48,433.08,Potato
Peach,Loamy,31.74,358.2,83.52,345.9,Tomato
Corn,Clayey,31.9,336.33,96.01,675.09,Potato
Tomato,Clayey,39.28,395.06,112.31,567.53,Potato
Maize,Sandy,35.02,265.16,100.5,521.71,Soybean
Soybean,Clayey,33.11,217.64,50.93,484.51,Potato
Rice,Saline,23.78,151.1,78.99,636.4,Chilli
Rice,Saline,39.54,232.46,56.28,578.2,Chilli
Soybean,Clayey,30.41,356.55,54.22,660.45,Potato
Potato,Clayey,38.87,158.39,63.24,310.25,Corn
Maize,Loamy,34.27,322.68,111.97,697.81,Tomato
Chilli,Saline,20.8,161.19,107.07,366.56,Chilli
Potato,Loamy,30.78,268.98,88.36,450.93,Tomato
Potato,Clayey,37.85,255.59,108.55,516.9,Potato
Corn,Saline,21.04,384.13,113.02,663.83,Rice
Peach,Sandy,37.33,229.93,56.04,504.64,Maize
Potato,Sandy,32.27,283.78,113.29,409.79,Soybean
Potato,Clayey,20.89,305.08,51.55,371.22,Peach
Bell Pepper,Loamy,27.47,222.47,108.92,617.16,Peach
Corn,Sandy,20.6,211.98,90.34,506.82,Soybean
Tomato,Sandy,20.03,221.59,51.73,666.31,Maize
Bell Pepper,Saline,37.93,182.12,75.37,393.51,Chilli
Bell Pepper,Loamy,34.97,178.94,57.14,320.05,Bell Pepper
Soybean,Loamy,25.79,298.01,86.36,338.3,Soybean
Peach,Sandy,22.27,175.15,78.55,691.32,Maize
Potato,Clayey,21.09,198.32,62.93,430.71,Tomato
Peach,Sandy,38.34,192.62,106.35,482.22,Soybean
Maize,Loamy,32.51,184.62,89.49,441.09,Bell Pepper
Soybean,Saline,23.21,185.32,103.8,594.77,Chilli
Tomato,Loamy,33.63,349.43,75.54,692.17,Tomato
Peach,Saline,39.98,210.47,84.47,669.04,Chilli
Rice,Saline,35.76,204.79,67.1,418.78,Chilli
Maize,Saline,28.93,182.22,50.39,691.1,Chilli
Corn,Loamy,36.28,325.14,116.47,474.78,Tomato
Tomato,Loamy,34.89,185.4,111.7,478.87,Bell Pepper
Maize,Clayey,21.77,163.95,55.49,514.31,Peach
Soybean,Sandy,38.51,399.29,63.63,398.22,Maize
Bell Pepper,Loamy,37.68,292.14,100.16,454.68,Tomato
Bell Pepper,Saline,31.81,324.65,68.84,631.23,Rice
Soybean,Loamy,30.16,369.74,97.47,658.93,Tomato
Chilli,Loamy,24.55,150.62,69.42,696.3,Chilli
Bell Pepper,Sandy,36.69,350.99,66.48,676.4,Maize
Corn,Loamy,28.64,322.55,59.07,365.44,Maize
Corn,Saline,31.59,233.19,61.09,460.53,Chilli
Rice,Sandy,23.4,164.1,110.04,401.69,Soybean
Potato,Clayey,24.28,288.29,113.67,559.15,Chilli
Chilli,Saline,39.7,226.78,97.83,668.7,Chilli
Tomato,Saline,29.88,159.36,101.69,359.1,Chilli
Bell Pepper,Loamy,36.31,383.46,114.99,461.14,Tomato
Corn,Clayey,36.59,161.8,90.05,343.4,Corn
Soybean,Sandy,39.63,274.64,57.13,520.6,Maize
Bell Pepper,Clayey,39.66,329.12,119.4,582.77,Potato
Potato,Loamy,29.14,280.26,96.69,655.8,Corn
Soybean,Clayey,39.01,395.93,114.61,507.67,Potato
Maize,Saline,27.31,301.16,63.23,441.81,Rice
Maize,Saline,32.15,296.18,117.45,612.97,Rice
Bell Pepper,Clayey,36.43,307.64,114.99,686.69,Potato
Potato,Clayey,38.28,393.35,54.88,544.93,Potato
Chilli,Saline,30.48,231.47,53.97,695.29,Chilli
Bell Pepper,Clayey,28.36,359.19,61.31,623.13,Potato
Corn,Saline,34.57,171.49,63.16,696.61,Chilli
Peach,Clayey,29.12,314.26,70.78,640.09,Potato
Bell Pepper,Sandy,33.44,293.92,105.08,557.27,Soybean
Bell Pepper,Sandy,36.08,307.98,58.37,428.9,Maize
Soybean,Loamy,36.82,260.89,54.95,474.68,Tomato
Peach,Saline,25.09,326.27,88.63,575.09,Rice
Corn,Sandy,31.43,316.08,88.55,308.71,Soybean
Bell Pepper,Saline,20.5,363.14,93.55,442.53,Rice
Soybean,Sandy,35.96,378.44,103.25,690.93,Soybean
Potato,Loamy,22.5,201.71,56.35,370.68,Potato
Bell Pepper,Saline,37.43,335.52,90.91,653.75,Rice
Peach,Sandy,28.14,286.17,83.83,631.56,Soybean
Rice,Saline,23.35,223.78,75.58,651.19,Chilli
Peach,Loamy,35.92,197.83,56.61,310.99,Bell Pepper
Maize,Loamy,24.01,210.16,87.13,523.87,Bell Pepper
Corn,Sandy,27.89,251.02,52.43,582.09,Maize
Tomato,Clayey,31.34,271.09,118.03,620.0,Potato
Bell Pepper,Loamy,27.2,229.16,111.85,505.52,Peach
Peach,Clayey,23.58,244.18,112.76,600.57,Soybean
Tomato,Loamy,28.12,377.97,70.51,697.3,Chilli
Soybean,Sandy,22.88,197.71,62.08,665.19,Maize
Rice,Clayey,34.38,161.01,56.78,687.59,Potato
Corn,Saline,23.43,335.69,81.44,528.71,Rice
Peach,Loamy,29.65,234.14,52.99,579.83,Potato
Tomato,Sandy,31.21,214.03,103.22,526.59,Soybean
Rice,Saline,38.9,386.86,85.2,608.97,Rice
Maize,Clayey,21.57,242.14,99.54,545.13,Tomato
Corn,Sandy,38.61,254.83,99.72,444.33,Soybean
Corn,Saline,24.16,302.2,85.8,364.87,Rice
Maize,Sandy,36.82,248.49,101.84,508.51,Soybean
Bell Pepper,Clayey,21.81,356.52,115.88,355.16,Maize
Maize,Saline,39.77,261.98,50.58,686.2,Rice
Corn,Loamy,36.15,246.36,66.78,466.72,Tomato
Corn,Loamy,21.26,293.08,113.26,383.46,Potato
Tomato,Sandy,24.28,382.22,99.07,670.61,Soybean
Rice,Loamy,30.97,283.6,89.75,418.25,Tomato
Maize,Clayey,30.47,227.53,88.22,647.41,Potato
Rice,Clayey,32.59,235.39,78.08,531.18,Potato
Maize,Saline,29.27,199.37,91.88,571.67,Chilli
Soybean,Saline,34.68,306.83,93.97,557.72,Rice
Corn,Saline,26.97,157.27,75.59,354.33,Chilli
Tomato,Sandy,23.53,321.8,76.74,501.87,Maize
Rice,Sandy,20.68,374.29,66.06,416.1,Maize
Maize,Clayey,26.5,312.86,90.22,464.06,Potato
Chilli,Clayey,28.54,360.51,85.62,486.89,Potato
Soybean,Sandy,33.18,171.26,82.26,400.07,Soybean
Peach,Saline,36.13,333.63,92.81,571.21,Rice
Bell Pepper,Sandy,24.8,339.54,95.48,438.33,Soybean
Rice,Saline,29.86,235.26,78.04,531.37,Chilli
Tomato,Clayey,24.67,325.58,105.76,640.89,Bell Pepper
Peach,Saline,39.02,258.32,55.45,391.76,Rice
Chilli,Sandy,32.95,329.92,78.03,402.78,Maize
Bell Pepper,Loamy,33.56,324.33,91.83,520.98,Tomato
Chilli,Clayey,30.62,225.41,60.47,592.21,Potato
Peach,Clayey,25.64,157.03,65.88,590.52,Potato
Bell Pepper,Sandy,24.01,344.77,93.48,536.24,Soybean
Chilli,Sandy,33.13,223.4,87.64,353.43,Soybean
Tomato,Clayey,38.43,293.8,64.77,649.68,Potato
Maize,Sandy,24.26,306.28,79.27,662.56,Maize
Corn,Saline,31.44,371.26,105.8,607.39,Rice
Maize,Saline,30.59,157.18,88.18,485.42,Chilli
Peach,Saline,32.83,283.23,104.61,507.31,Rice
Rice,Loamy,31.76,308.54,68.51,327.28,Tomato
Corn,Sandy,25.46,302.73,56.42,672.39,Maize
Soybean,Saline,33.83,339.68,70.59,654.55,Rice
Tomato,Clayey,25.45,165.34,55.05,645.1,Potato
Soybean,Saline,33.06,207.33,73.67,523.27,Chilli
Bell Pepper,Saline,26.0,310.14,93.72,487.69,Rice
Corn,Sandy,21.65,234.42,72.27,537.75,Maize
Soybean,Clayey,22.54,214.91,62.78,337.54,Tomato
Soybean,Loamy,36.68,244.24,54.79,445.46,Tomato
Chilli,Clayey,22.43,366.54,76.98,376.94,Peach
Maize,Saline,26.61,203.13,117.66,623.71,Chilli
Chilli,Loamy,25.75,350.06,95.88,376.86,Soybean
Corn,Loamy,21.16,240.12,106.02,696.75,Corn
Corn,Loamy,31.99,317.35,95.43,593.83,Tomato
Peach,Loamy,35.98,186.12,98.67,312.18,Bell Pepper
Chilli,Loamy,39.85,191.78,90.74,522.41,Bell Pepper
Potato,Sandy,38.72,182.96,89.55,402.6,Soybean
Maize,Saline,20.99,360.86,87.27,483.46,Rice
Corn,Loamy,25.15,325.07,76.94,390.61,Peach
Peach,Saline,28.24,370.23,93.45,689.31,Rice
Chilli,Sandy,37.5,306.23,106.32,473.17,Soybean
Maize,Sandy,27.2,310.67,94.73,666.49,Soybean
Chilli,Sandy,31.41,281.89,63.82,424.61,Maize
Soybean,Clayey,33.19,164.68,69.85,431.79,Potato
Peach,Clayey,25.96,158.83,98.87,490.86,Potato
Maize,Loamy,31.64,273.35,56.01,618.97,Tomato
Bell Pepper,Sandy,21.02,274.11,92.67,690.98,Soybean
